book_id,lec,prof,bk,publisher,author,serial,credit,rating,major,difficulty
1095,화폐금융론,전용일,"Economics of Money, Banking and Financial Markets","Pearson Education, Limited",Mishkin Frederic S,ECO2008-01,3,3.43,4,1
1096,화폐금융론,전용일,The Economics of Money Banking and Financial Markets (Paperback),Pearson Educacion,Mishkin,ECO2008-01,3,3.43,4,1
1097,화폐금융론,전용일,"The Economics of Money, Banking and Financial Markets",Prentice Hall,Mishkin Frederic S,ECO2008-01,3,3.43,4,1
1098,재정학,장선구,POINT 재정학,비앤엠북스,없음,ECO2010-02,3,3.5,4,1
1099,재정학,장선구,객관식 재정학,비앤엠북스,"장선구, 박환재",ECO2010-02,3,3.5,4,1
1100,재정학,장선구,객관식 재정학(3판),비앤엠북스,"장선구, 박환재",ECO2010-02,3,3.5,4,1
1101,재정학,장선구,신규상품등록,교보문고,편집부,ECO2010-02,3,3.5,4,1
1102,재정학,장선구,재정학 연습문제 해설집(이준구 조명환의)(5판),문우사,김진욱,ECO2010-02,3,3.5,4,1
1103,재정학,장선구,재정학(객관식)(양장본 HardCover),비앤엠북스,"장선구, 박환재",ECO2010-02,3,3.5,4,1
1104,재정학,장선구,재정학(유레카),비앤엠북스,"장선구, 김수빈",ECO2010-02,3,3.5,4,1
1105,국제무역론,김영한,무역영어 1급 기본이론+문제(2019)(와우패스)(개정판),와우패스,백소라,ECO2013-01,3,3.6,4,1
1106,한국경제사,송경은,기아와 기적의 기원,해남,차명수,ECO3002-01,3,3.55,4,2
1107,한국경제사,송경은,한국경제사,한국방송통신대학교,한국방송통신대학교 편집부,ECO3002-01,3,3.55,4,2
1108,한국경제사,송경은,"한국경제사(1학기, 워크북포함)",한국방송통신대학교,"장시원, 이영훈, 박기주",ECO3002-01,3,3.55,4,2
1109,계량경제학,김창식,계량경제학. 1(5판),박영사,"Jeffrey M Wooldridge, 한치록",ECO3005-01,3,4.66,4,2
1110,계량경제학,김창식,계량경제학. 5/E(Gujarati의)(5판),지필미디어,"Damodar N Gujarati, Dawn C Proter",ECO3005-01,3,4.66,4,2
1111,계량경제학,김창식,계량경제학(3판),시그마프레스,"R Carter Hill, WILLIAM E GRIFFITHS, GUAY C LIM",ECO3005-01,3,4.66,4,2
1112,계량경제학,김창식,계량경제학(4판),McGraw-Hill,"Gujarati, Dawn C Porter",ECO3005-01,3,4.66,4,2
1113,노동경제학,조준모,Modern Labor Economics,Pearson,Ronald Ehrenberg,ECO3009-01,3,4.42,4,2
1114,노동경제학,조준모,노동경제학(7판),시그마프레스,George J Borjas,ECO3009-01,3,4.42,4,2
1115,노동경제학,조준모,현대노동경제학: 이론과공공정책(10판),Pearson Education,Ehrenberg,ECO3009-01,3,4.42,4,2
1116,경제발전론,김인철,Economic Development 12/E,Pearson Education,Michael P Todaro,ECO3017-01,3,4.5,4,2
1117,환경경제학,이해춘,Environmental and Natural Resources Economics 9/E (Paperback),Pearson Educacion,없음,ECO3028-01,3,3.7,4,2
1118,Economic Development,린슈친,Economic Development,Addison Wesley,Todaro,GEC3403-01,3,4.46,7,2
1119,Economic Development,린슈친,Economic Growth 2/E,Addison-Wesley,Weil,GEC3403-01,3,4.46,7,2
1120,Economic Development,린슈친,Economic Growth 3/E (Paperback),Pearson Educacion,Weil,GEC3403-01,3,4.46,7,2
1121,경제법,정호열,경제법,박영사,정호열,PIL3001-01,3,4.29,40,2
1122,경제법,정호열,경제법(전정판 5판)(양장본 HardCover),박영사,정호열,PIL3001-01,3,4.29,40,2
1123,경제법,정호열,경제법(전정판 6판)(양장본 HardCover),박영사,정호열,PIL3001-01,3,4.29,40,2
1124,Intermediate Microeconomic Theory,송준,미시경제학(5판)(양장본 HardCover),법문사,이준구,GEC2003-01,3,4.44,7,1
1125,Intermediate Macroeconomic Theory,김영세,Macroeconomics 6/E,Worth,Mankiw N Gregory,GEC2004-01,3,4.8,7,1
1126,Statistical Analysis for Economics,송은지,Statistics for Management &amp; Economics,Cengage Learning,Keller,GEC2006-01,3,2.35,7,1
1127,Statistical Analysis for Economics,송은지,Statistics for Management and Economics,Cengage Learning,Gerald Keller,GEC2006-01,3,2.35,7,1
1128,International Corporate Finance,김성현,International Corporate Finance,McGraw-Hill,J. Ashok Robin,GEC3208-01,3,4.0,7,2
1129,Asset Pricing,황수성,재무경제학,피앤씨미디어,"황수성, 신진호",GEC3213-01,3,5.0,7,2
1130,재료역학,박선규,재료역학(개정판 9판),Cengage Learning,"James M Gere, Barry J Goodno",CAL2001-41,3,4.0,12,1
1131,재료역학,이정윤,Beer의 재료역학(G/E)(6판),McGraw Hill,"Ferdinand P Beer, ERussell Johnston Jr, John T Dewolf, David F Mazurek",CAL2001-41,3,4.0,12,1
1132,재료역학,이정윤,Beer의 재료역학(수정판 6판),경문사,"Ferdinand P Beer, E Russell Johnstonm Jr, John T Dewolf, David F Mazurek",CAL2001-41,3,4.0,12,1
1133,철근콘크리트구조1,이정윤,철근콘크리트구조(2012 설계기준)(2판)(양장본 HardCover),동화기술,이정윤,CAL2003-41,3,4.88,12,1
1134,토질역학,유충식,Principles of Geotechnical Engineering (Paperback),Cengage Learning,Das Braja M,CAL2018-41,3,3.67,12,1
1135,측량정보학및실습,윤홍식,측량정보공학(개정판 3판),양서각,조규전,CAL2020-41,3,4.44,12,1
1136,부정정구조물의해석,김문영,구조해석(4판)(CD1장포함)(양장본 HardCover),동화기술,"Jack C McCormac, 권순덕, 김성보, 이영욱, 윤태호",CAL3040-41,3,4.17,12,2
1137,열전달,이진기,An Introduction to Mass and Heat Transfer: Principles of Analysis and...,John Wiley & Sons Inc,Middleman Stanley,EME3004-41,3,4.61,16,2
1138,열전달,이진기,열전달(8판),텍스트북스,"Frank P. Incropera, David P DeWitt, hedore L Bergman, Adrienne S Lavine",EME3004-41,3,4.61,16,2
1139,물리화학1,이진용,Quantitative Chemical Analysis (Revised),Freeman,Harris Daniel C,CHY2001-41,3,4.0,50,1
1140,반도체공학개론,이후정,Solid State Electronic Devices(Global Edition),Pearson Higher Education,Ben Streetman,EAM2012-41,3,4.0,21,1
1141,반도체공학개론,정원국,고체전자공학(7판)(양장본 HardCover),성진미디어,"Ben G Streetman, Sanjay Kumar Banerjee",EAM2012-41,3,4.0,21,1
1142,박막재료공정,염근영,Materials Science of Thin Films,Academic,Ohring Milton,EAM3038-41,3,3.93,21,2
1143,인간공학및실습,공용구,인간공학(7판)(양장본 HardCover),대영사,"Mark S Sanders, Ernest J McCormick",ESM2010-41,3,0.0,19,1
1144,제조전략이해,최후곤,"Automation, Production Systems, and Computer-Integrated Manufacturing",Pearson,Mikell P Groover,ESM2011-41,3,3.71,19,1
1145,생산관리,권대일,생산운영관리(13판),MCGRAW-HILL Higher Education,William J Stevenson,ESM3019-41,3,0.0,19,2
1146,응용통계및연습2,강석호,Probability and Statistics 4/E,Pearson Education Asia,DeGroot Morris H,ESM3026-41,3,5.0,19,2
1147,화공유체역학,방석호,화학공학유체역학,한산,James O Wilkes,ECH2007-41,3,4.64,22,1
1148,화공유체역학,남재도,Introduction to Fluid Dynamics: Principles of Analysis &amp; Design,Wiley,Middleman Stanley,ECH2007-41,3,4.64,22,1
1149,화공유체역학,이용철,단위조작(7판),McGraw-Hill,Mccabe,ECH2007-41,3,4.64,22,1
1150,화공유체역학,권영돈,Fluid Mechanics for Chemical Engineers,Prentice-Hall,Wilkes,ECH2007-41,3,4.64,22,1
1151,화공유체역학,권영돈,화학공학 유체역학(윌키스의)(3판),사이플러스,James O Wilkes,ECH2007-41,3,4.64,22,1
1152,공업물리화학1,한귀영,물리화학(9판),교보문고,"Peter Atkins, Julio de Paula",ECH2017-41,3,3.29,22,1
1153,공업물리화학1,이준영,"of Physical Chemistry by Peter Atkins, Julio de Paula, ISBN: 9780716773290",Academic Internet Publishers,없음,ECH2017-41,3,3.29,22,1
1154,공업물리화학1,김덕준,물리화학(8판),교보문고,"Atkins, Julio de Paula",ECH2017-41,3,3.29,22,1
1155,공업생화학,엄숭호,Biochemistry : A short course,W.H. Freeman & Company,Tymoczko John L/ Berg Jeremy M/ Stryer Lubert,ECH2024-41,3,3.43,22,1
1156,공업생화학,엄숭호,Biochemistry : Short Course,Palgrave Macmillan,Tymoczko / Berg / Stryer,ECH2024-41,3,3.43,22,1
1157,공업생화학,엄숭호,Biochemistry (Paperback),Cengage Learning,Garrett,ECH2024-41,3,3.43,22,1
1158,공업생화학,엄숭호,생화학(Stryer)(핵심),범문에듀케이션,"John L Tymoczko, Jeremy MBerg, Lubert Stryer",ECH2024-41,3,3.43,22,1
1159,광학기초,이연호,Optics,Pearson,Eugene Hecht,EEE3006-41,3,4.43,15,2
1160,광학기초,이연호,광학(4판),자유아카데미,Eugene Hecht,EEE3006-41,3,4.43,15,2
1161,광학기초,박형원,광학(5판),자유아카데미,"조재흥, 김규욱, 황인각",EEE3006-41,3,4.43,15,2
1162,광학기초,송장근,광학(OPTICS)(4판),자유아카데미,"Eugene Hecht, 장수, 황보창권, 조두진",EEE3006-41,3,4.43,15,2
1163,응용생명공학,박재형,생체공학(2판),한티미디어,W Mark Saltzman,ECH2029-41,3,5.0,22,1
1164,화공계산,김덕준,Introduction to Chemical Processes,McGraw-Hill,Murphy,ECH2031-41,3,4.14,22,1
1165,화공계산,김덕준,화학공정계산(Murphy의)(개정판)(양장본 HardCover),사이플러스,Regina MMurphy,ECH2031-41,3,4.14,22,1
1166,화공계산,김덕준,화학공정계산(개정판)(양장본 HardCover),사이플러스,Regina MMurphy,ECH2031-41,3,4.14,22,1
1167,화공계산,김덕준,화학공정계산(제3판)(CD-ROM 1장 포함),청문각(교문사),RMFelder 외,ECH2031-41,3,4.14,22,1
1168,화공계산,이동현,Elementary Principles of Chemical Processes,Wiley,Richard M Felder,ECH2031-41,3,4.14,22,1
1169,화공계산,김동환,공학도를 위한 수치해석(7판),McGraw Hill,"Steven C Chapra, Raymond P Canale",ECH2031-41,3,4.14,22,1
1170,화공계산,채희엽,Basic Principles and Calculations in Chemical Engineering (Revised),Pearson Educacion,Himmelblau David Mautner,ECH2031-41,3,4.14,22,1
1171,화공계산,채희엽,화공양론(8판)(CD1장포함),PEARSON EDUCATION KOREA,"Himmelblau, JamesB Riggs",ECH2031-41,3,4.14,22,1
